tribunal,grau,numero,classe,orgao,ano_ajuizamento,duracao_dias,qtd_movimentos,desfecho
TRF3,TRU,00002466520194036319,Recurso Inominado Cível,GABINETE 32 DE JUIZ FEDERAL DA 11º TURMA RECURSAL DO JEF DE SÃO PAULO,2019.0,333.0,12,sem sentença identificada
TRF3,TRU,00011009320184036319,Recurso Inominado Cível,GABINETE 09 DE JUIZ FEDERAL DA 3º TURMA RECURSAL DO JEF DE SÃO PAULO,2018.0,505.0,13,sem sentença identificada
TRF3,TRU,00008072620184036319,Recurso Inominado Cível,GABINETE 11 DE JUIZ FEDERAL DA 4º TURMA RECURSAL DO JEF DE SÃO PAULO,2018.0,654.0,12,sem sentença identificada
TRF3,TRU,00008600720184036319,Recurso Inominado Cível,GABINETE 14 DE JUIZ FEDERAL DA 5º TURMA RECURSAL DO JEF DE SÃO PAULO,2018.0,671.0,12,sem sentença identificada
TRF3,TRU,00002422820194036319,Recurso Inominado Cível,GABINETE 24 DE JUIZ FEDERAL DA 8º TURMA RECURSAL DO JEF DE SÃO PAULO,2019.0,316.0,12,sem sentença identificada
TRF3,TRU,00008904220184036319,Recurso Inominado Cível,GABINETE 15 DE JUIZ FEDERAL DA 5º TURMA RECURSAL DO JEF DE SÃO PAULO,2018.0,701.0,13,sem sentença identificada
TRF3,TRU,00004779220194036319,Recurso Inominado Cível,GABINETE 33 DE JUIZ FEDERAL DA 11º TURMA RECURSAL DO JEF DE SÃO PAULO,2019.0,399.0,12,sem sentença identificada
TRF3,TRU,00008765820184036319,Recurso Inominado Cível,GABINETE 01 DE JUIZ FEDERAL DA 1º TURMA RECURSAL DO JEF DE SÃO PAULO,2018.0,644.0,12,sem sentença identificada
TRF4,JE,00145574020064047014,Procedimento do Juizado Especial Cível,1ª Vara Federal de União da Vitória,2006.0,17.0,8,sem sentença identificada
TRF4,JE,00017754320024047110,Procedimento do Juizado Especial Cível,3ª Vara Federal de Pelotas,2002.0,6493.0,67,favorável
TRF4,JE,00016665820044047110,Procedimento do Juizado Especial Cível,3ª Vara Federal de Pelotas,2004.0,5805.0,32,desfavorável
TRF4,JE,00005346320044047110,Procedimento do Juizado Especial Cível,3ª Vara Federal de Pelotas,2004.0,5827.0,27,desfavorável
TRF4,JE,00001024420044047110,Procedimento do Juizado Especial Cível,3ª Vara Federal de Pelotas,2004.0,5888.0,24,sem sentença identificada
TRF4,JE,00006436720054047102,Procedimento do Juizado Especial Cível,1ª Vara Federal de Santa Maria,2005.0,5631.0,99,favorável
TRF4,G1,00015891220054047111,Execução Contra a Fazenda Pública,1ª Vara Federal de Santa Cruz do Sul,2005.0,5408.0,159,favorável
TRF4,JE,00041188320054047117,Procedimento do Juizado Especial Cível,1ª Vara Federal de Erechim,2005.0,5736.0,52,desfavorável
TRF4,JE,00045804020054047117,Procedimento do Juizado Especial Cível,1ª Vara Federal de Erechim,2005.0,5713.0,98,desfavorável
TRF4,JE,00015146320064047102,Procedimento do Juizado Especial Cível,1ª Vara Federal de Santa Maria,2006.0,5534.0,51,favorável
TRF4,JE,00110640220034047001,Procedimento do Juizado Especial Cível,2ª Vara Federal de Londrina,2003.0,6070.0,73,favorável
TRF4,JE,00055513620064047102,Procedimento do Juizado Especial Cível,1ª Vara Federal de Santa Maria,2006.0,4890.0,106,desfavorável
TRF4,JE,00058978420064047102,Procedimento do Juizado Especial Cível,1ª Vara Federal de Santa Maria,2006.0,4911.0,90,favorável
TRF4,JE,00112484920034047003,Procedimento do Juizado Especial Cível,4ª Vara Federal de Maringá,2003.0,6321.0,41,favorável
TRF4,JE,00016120620064047116,Procedimento do Juizado Especial Cível,1ª Vara Federal de Cruz Alta,2006.0,5163.0,115,desfavorável
TRF4,JE,00005112820064047117,Procedimento do Juizado Especial Cível,1ª Vara Federal de Erechim,2006.0,5574.0,82,desfavorável
